afluencia_name,osm_name,similarity,candidatos
Acatitla,,0.5714285714285714,Fátima | Cuitláhuac | Zacatenco
Aculco,,0.5333333333333333,Zacatenco | Tlalpexco | Consulado
Agrícola Oriental,,0.6428571428571429,La Forestal | Martín Carrera | México Central Norte
Allende,,0.5714285714285714,Vallejo | Valle Gómez | Talismán
Apatlaco,,0.5882352941176471,Zacatenco | Tlalpexco | Tlatelolco
Aquiles Serdán,,0.5333333333333333,Bosque de Aragón | Tanque de Agua | Villa de Aragón
Aragón,Aragón,1.0,
Atlalilco,,0.7368421052631579,Tlatelolco | Tlalpexco | Vallejo
Auditorio,,0.5555555555555556,Misterios | Deportivo | Bondojito
Autobuses del Norte,Autobuses del Norte,1.0,
Balbuena,,0.5555555555555556,Buenavista | CETRAM Buenavista | Garibaldi-Lagunilla
Balderas,,0.43478260869565216,Villa de Aragón | Canal del Norte | Base Microbuses
Barranca del Muerto,,0.5882352941176471,Canal del Norte | CETRAM 18 de Marzo | Ferrería/Arena Ciudad de México
Bellas Artes,,0.5263157894736842,La Mesa | La Forestal | Base Microbuses
Bondojito,Bondojito,1.0,
Bosque de Aragón,Bosque de Aragón,1.0,
Boulevard Puerto Aéreo,,0.4375,La Pastora | Paradero de Indios Verdes | Romero Rubio
Buenavista,Buenavista,1.0,
Calle 11,,0.5333333333333333,Vallejo | Valle Gómez | Canal del Norte
Camarones,,0.5333333333333333,Aragón | Ticomán | Morelos
Canal de San Juan,,0.625,Canal del Norte | Tanque de Agua | Archivo General de la Nación
Canal del Norte,Canal del Norte,1.0,
Candelaria,,0.5882352941176471,Oceanía | Santa Clara | Canal del Norte
Centro Médico,,0.5806451612903226,CETRAM Politécnico | Río de Remedios | Periférico
Cerro de la Estrella,,0.5294117647058824,CETRAM La Raza | León de los Aldama | Río de los Remedios
Chabacano,,0.5555555555555556,Zacatenco | La Cañada | Cuitláhuac
Chapultepec,,0.8,Cuautepec | Lomas de Cuautepec | Zacatenco
Chilpancingo,,0.5263157894736842,Hidalgo | Zacatenco | Archivo General de la Nación
Ciudad Azteca,,0.5454545454545454,Cuautepec | La Raza | Zacatenco
Ciudad Deportiva,,0.64,"Deportivo | Estación Méxicable ""Deportivo"" | Deportivo Oceanía"
Colegio Militar,Colegio Militar,1.0,
Constitución de 1917,,0.5238095238095238,Instituto del Petróleo | Consulado L4 | Campos Revolución
Constituyentes,,0.5,Instituto del Petróleo | Consulado | Metro Politécnico (Poniente)
Consulado,Consulado,1.0,
Copilco,,0.5,Consulado | Tlatelolco | Cuitláhuac
Coyoacán,,0.5333333333333333,Ticomán | Cocoyotes (La Brecha) | Zacatenco
Coyuya,,0.5333333333333333,Consulado | Ticomán | Fortuna
Cuatro Caminos,,0.5714285714285714,Eduardo Molina | CETRAM Politécnico | Río de Remedios
Cuauhtémoc,,0.7368421052631579,Cuautepec | Zacatenco | Tlatelolco
Cuitláhuac,Cuitláhuac,1.0,
Culhuacán,,0.7368421052631579,Cuitláhuac | La Cañada | Autobuses Teotihuacán
Deportivo 18 de Marzo,Deportivo 18 de Marzo,1.0,
Deportivo Oceanía,Deportivo Oceanía,1.0,
División del Norte,,0.6666666666666666,Canal del Norte | Autobuses del Norte | México Central Norte
Doctores,,0.5333333333333333,Potrero | Morelos | Indios Verdes
Ecatepec,,0.8235294117647058,Cuautepec | Lomas de Cuautepec | Zacatenco
Eduardo Molina,Eduardo Molina,1.0,
Eje Central,,0.5806451612903226,México Central Norte | CETRAM La Raza | Normal
El Rosario,,0.5,Los Bordos | Morelos | La Raza
Ermita,,0.5555555555555556,Terminal ETT | CETRAM Buenavista | Tepito
Escuadrón 201,,0.48,Consulado L4 | Consulado | Eduardo Molina
Etiopía/Plaza de la Transparencia,,0.5245901639344263,"Estación Méxicable ""La Cañada"" | Villa de Aragón | Metro Villa de Aragón LB"
Eugenia,,0.5882352941176471,Buenavista | Oceanía | Lagunilla
Ferrería/Arena Ciudad de México,Ferrería/Arena Ciudad de México,1.0,
